imdb_id,name,gender,dob
tt0468569,Christian Bale,m,1974-01-30
tt0468569,Heath Ledger,m,1979-04-04
tt0468569,Aaron Eckhart,m,1968-03-12
tt0944947,Emilia Clarke,f,1986-10-23
tt0944947,Peter Dinklage,m,1969-06-11
tt0944947,Kit Harington,m,1986-12-26
tt9174582,Joe Gilgun,m,1984-03-09
tt9174582,Michelle Keegan,f,1987-06-04
tt9174582,Damien Molony,m,1984-02-21
tt2442560,Cillian Murphy,m,1976-05-25
tt2442560,Paul Anderson,m,1978-11-19
tt2442560,Sophie Rundle,f,1988-04-21
tt6966692,Viggo Mortensen,m,1958-10-20
tt6966692,Mahershala Ali,m,1974-02-16
tt6966692,Linda Cardellini,f,1975-06-25
tt0099785,Macaulay Culkin,m,1980-08-26
tt0099785,Joe Pesci,m,1943-02-09
tt0099785,Daniel Stern,m,1957-08-28
tt0095016,Bruce Willis,m,1955-03-19
tt0095016,Alan Rickman,m,1946-02-21
tt0095016,Bonnie Bedelia,f,1948-03-25
tt0120201,Casper Van Dien,m,1968-12-18
tt0120201,Denise Richards,f,1971-02-17
tt0120201,Dina Meyer,f,1968-12-22
tt0112573,Mel Gibson,m,1956-01-03
tt0112573,Sophie Marceau,f,1966-11-17
tt0112573,Patrick McGoohan,m,1928-03-19
tt0099423,Bruce Willis,m,1955-03-19
tt0099423,William Atherton,m,1947-07-30
tt0099423,Bonnie Bedelia,f,1948-03-25
